park,year,PTP,species,sex,elapsed_secs,number,exact_distance,survey_class
KATM,2005,184810304,AMRO,M,5,2,50,FIVE
LACL,2004,208800104,AMPI,M,241,2,100,FIVE
KATM,2005,182360203,DEJU,M,141,2,60,FIVE
LACL,2006,204060201,FOSP,U,55,2,48,FIVE
LACL,2004,218350105,ROPT,U,181,2,554,FIVE
KATM,2006,158520101,GCSP,U,160,2,24,FIVE
KATM,2006,158520102,FOSP,U,0,2,32,FIVE
LACL,2004,218350107,WIPT,U,140,2,298,FIVE
KATM,2005,168000302,SAVS,U,253,2,30,FIVE
LACL,2004,232670105,AMRO,U,0,5,32,FIVE
KATM,2006,163310302,ROPT,MF,132,2,240,FIVE
KATM,2005,168050301,WIPT,MF,0,2,120,FIVE
KATM,2005,184810101,ROPT,MF,15,2,68,FIVE
KATM,2005,170390404,DEJU,MF,0,2,150,FIVE
LACL,2004,232740203,DEJU,F,289,1,25,FIVE
KATM,2005,175250116,ROPT,F,201,1,108,FIVE
LACL,2004,206380102,AMPI,F,12,1,166,FIVE
KATM,2005,177610202,ROPT,F,118,1,150,FIVE
KATM,2005,168090109,AMPI,F,164,1,24,FIVE
LACL,2004,206380203,DEJU,F,79,1,31,FIVE
KATM,2005,184760112,AMRO,F,121,1,50,FIVE
KATM,2005,177590301,DEJU,M,3,1,60,FIVE
KATM,2005,177590301,WIWA,M,99,1,80,FIVE
KATM,2005,177590301,YRWA,M,34,1,110,FIVE
KATM,2005,177590301,YRWA,M,176,1,125,FIVE
LACL,2004,232740201,DEJU,M,38,1,110,FIVE
LACL,2004,232740201,WCSP,M,61,1,110,FIVE
LACL,2004,232740201,WCSP,M,70,1,120,FIVE
LACL,2004,232740201,YRWA,M,10,1,60,FIVE
LACL,2004,232740201,YRWA,M,107,1,125,FIVE
LACL,2004,232740201,YRWA,M,285,1,130,FIVE
LACL,2004,220750201,AMRO,M,270,1,42,FIVE
LACL,2004,220750201,FOSP,M,280,1,339,FIVE
LACL,2004,220750201,GCSP,M,32,1,76,FIVE
LACL,2004,220750201,WCSP,M,11,1,34,FIVE
LACL,2004,220750201,YRWA,M,59,1,104,FIVE
LACL,2004,232700201,AMRO,M,22,1,110,FIVE
LACL,2004,223180101,ATSP,M,55,1,280,FIVE
LACL,2004,232700201,OCWA,M,21,1,40,FIVE
LACL,2004,223180101,ROPT,M,7,1,120,FIVE
LACL,2004,232700201,WCSP,M,203,1,125,FIVE
LACL,2004,232700201,WIWA,M,6,1,35,FIVE
LACL,2004,232700201,YRWA,M,3,1,80,FIVE
LACL,2004,232700201,YRWA,M,159,1,110,FIVE
LACL,2006,206450201,FOSP,M,30,1,174,FIVE
LACL,2006,206450201,GCSP,M,20,1,116,FIVE
LACL,2006,206450201,GCSP,M,220,1,215,FIVE
LACL,2006,206450201,SAVS,M,5,1,64,FIVE
KATM,2005,165620201,AMRO,M,62,1,110,FIVE
KATM,2005,165620201,FOSP,M,61,1,75,FIVE
KATM,2005,165620201,FOSP,M,75,1,65,FIVE
KATM,2005,165620201,GCSP,M,110,1,70,FIVE
KATM,2005,165620201,GCSP,M,125,1,200,FIVE
LACL,2004,218350102,GCSP,M,29,1,22,FIVE
LACL,2004,218350102,GCSP,M,40,1,40,FIVE
LACL,2004,218350102,GCSP,M,51,1,NA,FIVE
LACL,2004,218350102,GCSP,M,61,1,NA,FIVE
KATM,2006,170520101,FOSP,M,15,1,200,FIVE
KATM,2006,170520101,GCSP,M,10,1,200,FIVE
KATM,2006,170520101,HETH,M,120,1,240,FIVE
KATM,2006,170520101,SAVS,M,7,1,80,FIVE
KATM,2006,170520101,SAVS,M,164,1,110,FIVE
KATM,2006,170520101,WIWA,M,3,1,100,FIVE
KATM,2006,170520101,WIWA,M,50,1,120,FIVE
LACL,2004,232740202,YRWA,M,2,1,75,FIVE
LACL,2004,232740202,YRWA,M,13,1,95,FIVE
LACL,2004,232740202,YRWA,M,67,1,120,FIVE
LACL,2004,213570201,DEJU,M,5,1,60,FIVE
LACL,2004,213570201,DEJU,M,13,1,125,FIVE
LACL,2004,213570201,YRWA,M,53,1,90,FIVE
LACL,2004,213570201,YRWA,M,192,1,120,FIVE
KATM,2005,187170114,AMRO,M,49,1,250,FIVE
KATM,2005,187170114,AMRO,M,193,1,260,FIVE
KATM,2005,187170114,ATSP,M,12,1,86,FIVE
KATM,2005,187170114,ATSP,M,141,1,80,FIVE
KATM,2005,187170114,FOSP,M,93,1,172,FIVE
KATM,2005,187170114,GCSP,M,30,1,200,FIVE
KATM,2005,187170114,GCSP,M,214,1,260,FIVE
KATM,2005,187170114,OCWA,M,61,1,200,FIVE
KATM,2005,187170114,OCWA,M,110,1,NA,FIVE
KATM,2005,187170114,OCWA,M,161,1,250,FIVE
